hf_A,hf_B,hf_Z,matched_column,matched_master_label,matched_master_depth,matched_master_path,score
abelard,"Peter Abelard (1079â€“1142) was a preeminent medieval philosopher and theologian known for his contributions to logic, ethics, and metaphysics. His work significantly influenced scholastic thought, particularly through his dialectical method and analysis of universals.",https://plato.stanford.edu/entries/abelard/,A,Abelard,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 11th/12th Century > Abelard,1.000
abilities,"The capacity of agents to perform actions or bring about effects, central to questions of agency. Inquiry into this concept often intersects with debates on free will, power, and the nature of possibility in determining what agents can do.",https://plato.stanford.edu/entries/abilities/,A,Abilities,4,Philosophy of Action > Action Theory > Specific Agentive Phenomena > Abilities,1.000
abstract-objects,"Entities typically defined by their lack of spatial or temporal location and their causal inertness. Common examples include mathematical objects like numbers and sets, as well as propositions and concepts, which exist independently of physical manifestation.",https://plato.stanford.edu/entries/abstract-objects/,A,Abstract Objects,3,Metaphysics > Objects > Abstract Objects,1.000
actualism-possibilism-ethics,"The application of modal concepts to moral obligation, asking whether duties depend on what an agent would actually do or what they could possibly do. This distinction affects the assessment of moral requirements.",https://plato.stanford.edu/entries/actualism-possibilism-ethics/,A,Actualism and Possibilism in Ethics,4,Value Theory > Normative Ethics > Ethical Theories Miscellaneous > Actualism and Possibilism in Ethics,1.000
adorno,"Theodor W. Adorno (1903â€“1969) was a leading figure of the Frankfurt School of critical theory. His work integrates philosophy, sociology, and musicology to critique modern capitalist society and culture.",https://plato.stanford.edu/entries/adorno/,A,Adorno,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Adorno,1.000
advance-directives,Legal and ethical instruments enabling individuals to specify future medical treatment preferences. They are designed to protect patient autonomy during periods of incapacity.,https://plato.stanford.edu/entries/advance-directives/,A,Advance Directives,5,Value Theory > Applied Ethics > Biomedical Ethics > Medical Ethics > Advance Directives,1.000
aesthetic-judgment,"The examination of judgments about beauty and artistic merit. Key questions involve the universality, subjectivity, and normative force of such evaluations.",https://plato.stanford.edu/entries/aesthetic-judgment/,A,Aesthetic Judgment,5,Value Theory > Aesthetics > Aesthetic Cognition > Aesthetic Attitudes > Aesthetic Judgment,1.000
affirmative-action,"Positive steps taken to increase the representation of women and minorities in employment, education, and culture to remedy historical exclusion. The philosophical debate centers on the justification of preferential selection based on race, gender, or ethnicity.",https://plato.stanford.edu/entries/affirmative-action/,A,Affirmative Action,4,Value Theory > Social and Political Philosophy > Equality > Affirmative Action,1.000
afterlife,"The philosophical investigation into the possibility of personal survival after biological death. It intersects with questions about the nature of the soul, identity, and the significance of mortality.",https://plato.stanford.edu/entries/afterlife/,A,Afterlife,3,Philosophy of Religion > Religious Topics > Afterlife,1.000
agency,"The exercise or manifestation of an entity's capacity to act. Standard philosophical theories explain agency in terms of intentionality and mental causation, distinguishing actions from mere bodily movements.",https://plato.stanford.edu/entries/agency/,A,Agency,2,Philosophy of Action > Agency,1.000
