1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
Epistemology,,,,,,"Systematic study of knowledge and justified belief, including sources (perception, memory, testimony, a priori), standards of justification, skepticism, and the aims and value of cognitive life.","The branch of philosophy concerned with the nature, origin, and limits of knowledge. It explores what knowledge is, how we acquire it, what its sources are, and how to distinguish it from mere belief.","The term ""epistemology"" comes from the Greek words ""episteme"" and ""logos"". ""Episteme"" can be translated as ""knowledge"" or ""understanding"" or ""acquaintance"", while ""logos"" can be translated as ""account"" or ""argument"" or ""reason"". Just as each of these different translations captures some facet of the meaning of these Greek terms, so too does each translation capture a different facet of epistemology itself. Although the term ""epistemology"" is no more than a couple of centuries old, the field of epistemology is at least as old as any in philosophy. In different parts of its extensive history, different facets of epistemology have attracted attention. Plato's epistemology was an attempt to understand what it was to know, and how knowledge (unlike mere true opinion) is good for the knower. Locke's epistemology was an attempt to understand the operations of human understanding, Kant's epistemology was an attempt to understand the conditions of the possibility of human understanding, and Russell's epistemology was an attempt to understand how modern science could be justified by appeal to sensory experience. Much recent work in formal epistemology is an attempt to understand how our degrees of confidence are rationally constrained by our evidence, and much recent work in feminist epistemology is an attempt to understand the ways in which interests affect our evidence, and affect our rational constraints more generally. In all these cases, epistemology seeks to understand one or another kind of cognitive success (or, correspondingly, cognitive failure). This entry surveys the varieties of cognitive success, and some recent efforts to understand some of those varieties.","The study of knowledge and justified belief. Core questions concern knowledge's nature (justified true belief plus conditions to avoid Gettier cases), justification's structure (foundationalism, coherentism, infinitism), skepticism, and sources of knowledge (perception, reason, testimony). Contemporary epistemology addresses social epistemology and formal methods.",/entries/epistemology/,Epistemology,https://plato.stanford.edu/archives/win2021/entries/epistemology/,title_exact_strict,
,Epistemological Sources,,,,,"Taxonomy of routes to belief formation that can yield justification or knowledge, such as perception, memory, introspection, reasoning, intuition, testimony, and a priori methods.","The study of the origins and pathways through which knowledge is acquired. This category includes sources like perception, memory, reason, and testimony from others.",,,,,,,
,,The A Priori,,,,"Knowledge or justification independent of particular experiences; often linked to necessity, analyticity, or rational insight, and contrasted with a posteriori knowledge derived from empirical observation.","Knowledge or justification that is independent of experience. It is based on reason and logical deduction rather than empirical evidence (e.g., ""All bachelors are unmarried"").",,,,,,,
,,,Apriority and Necessity,,,"Explores whether truths knowable a priori are necessarily true and whether necessity entails apriority, distinguishing modal status from epistemic route and examining counterexamples (e.g., necessary a posteriori).",The philosophical investigation into the relationship between a priori knowledge and necessary truths-propositions that could not possibly be false.,,,,,,,
,,,Apriority in Mathematics,,,"Accounts of how mathematical truths can be known without empirical confirmation, through proof, abstraction, or conceptual insight, and debates over whether mathematical knowledge is revisable or fallible.","The study of how mathematical truths are known a priori, through reason alone, without direct reliance on sensory experience.",,,,,,,
,,,The Synthetic A Priori,,,"Class of judgments that extend knowledge yet are knowable a priori; traditionally associated with geometry and arithmetic and reassessed in light of logicism, formalism, and empiricism.","A concept, most famously discussed by Immanuel Kant, referring to knowledge that is known a priori but is not analytically true (i.e., not true simply by definition). It is both informative about the world and knowable through reason.",,,,,,,
,,,Theories of the A Priori,,,"Competing explanations of a priori justification-rational intuition, conceptual analysis, conventionalism, reliabilist metasemantics, and pragmatic or heuristic views of a priori methods.","The various philosophical explanations for how a priori knowledge is possible, ranging from rationalism (innate ideas) to linguistic theories (analytic truths).",,,,,,,
,,Intuition,,,,"A seeming or intellectual presentation that makes a proposition appear true without inferential support; investigated for its phenomenology, reliability, and evidential force in philosophy and mathematics.","The ability to acquire knowledge or justification without conscious reasoning. In epistemology, it is often treated as a direct, non-inferential source of belief or evidence.","This entry addresses the nature and epistemological role of intuition by considering the following questions: (1) What are intuitions?, (2) What roles do they serve in philosophical (and other ""armchair"") inquiry?, (3) Ought they serve such roles?, (4) What are the implications of the empirical investigation of intuitions for their proper roles?, and (in the supplementary document titled ""The Logical Structure of the Method of Cases"") (5) What is the content of intuitions prompted by the consideration of hypothetical cases?","Non-inferential seeming or intellectual appearance. Philosophical intuitions about cases (thought experiments) guide theory construction. Questions concern intuitions' nature (beliefs, dispositions, or sui generis), evidential status, and reliability. Experimental philosophy challenges reliance on intuitions by showing demographic variation.",/entries/intuition/,Intuition,https://plato.stanford.edu/archives/win2021/entries/intuition/,title_exact_strict,
,,,Epistemology of Intuition,,,"Evaluates whether intuitions provide prima facie justification, how they interact with perception and inference, and when debunking explanations (e.g., bias, heuristics) undercut their evidential value.","The study of how intuition functions as a source of knowledge or justified belief, and under what conditions intuitions can be considered reliable evidence.",,,,,,,
,,,Moral Intuitionism,,,Metaethical view that some moral truths are self-evident and knowable without the need for inference or empirical investigation. Paired with pluralism about basic duties or properties and defended against skepticism and disagreement.,"A meta-ethical theory suggesting that fundamental moral truths are known directly through intuition, without the need for inference or empirical investigation.",,,,,,,
