1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
Epistemology,,,,,,"Systematic study of knowledge and justified belief, including sources (perception, memory, testimony, a priori), standards of justification, skepticism, and the aims and value of cognitive life.","The branch of philosophy concerned with the nature, origin, and limits of knowledge. It explores what knowledge is, how we acquire it, what its sources are, and how to distinguish it from mere belief."
,Epistemological Sources,,,,,"Taxonomy of routes to belief formation that can yield justification or knowledge, such as perception, memory, introspection, reasoning, intuition, testimony, and a priori methods.","The study of the origins and pathways through which knowledge is acquired. This category includes sources like perception, memory, reason, and testimony from others."
,,The A Priori,,,,"Knowledge or justification independent of particular experiences; often linked to necessity, analyticity, or rational insight, and contrasted with a posteriori knowledge derived from empirical observation.","Knowledge or justification that is independent of experience. It is based on reason and logical deduction rather than empirical evidence (e.g., ""All bachelors are unmarried"")."
,,,Apriority and Necessity,,,"Explores whether truths knowable a priori are necessarily true and whether necessity entails apriority, distinguishing modal status from epistemic route and examining counterexamples (e.g., necessary a posteriori).",The philosophical investigation into the relationship between a priori knowledge and necessary truths—propositions that could not possibly be false.
,,,Apriority in Mathematics,,,"Accounts of how mathematical truths can be known without empirical confirmation, through proof, abstraction, or conceptual insight, and debates over whether mathematical knowledge is revisable or fallible.","The study of how mathematical truths are known a priori, through reason alone, without direct reliance on sensory experience."
,,,The Synthetic A Priori,,,"Class of judgments that extend knowledge yet are knowable a priori; traditionally associated with geometry and arithmetic and reassessed in light of logicism, formalism, and empiricism.","A concept, most famously discussed by Immanuel Kant, referring to knowledge that is known a priori but is not analytically true (i.e., not true simply by definition). It is both informative about the world and knowable through reason."
,,,Theories of the A Priori,,,"Competing explanations of a priori justification—rational intuition, conceptual analysis, conventionalism, reliabilist metasemantics, and pragmatic or heuristic views of a priori methods.","The various philosophical explanations for how a priori knowledge is possible, ranging from rationalism (innate ideas) to linguistic theories (analytic truths)."
,,Intuition,,,,"A seeming or intellectual presentation that makes a proposition appear true without inferential support; investigated for its phenomenology, reliability, and evidential force in philosophy and mathematics.","The ability to acquire knowledge or justification without conscious reasoning. In epistemology, it is often treated as a direct, non-inferential source of belief or evidence."
,,,Epistemology of Intuition,,,"Evaluates whether intuitions provide prima facie justification, how they interact with perception and inference, and when debunking explanations (e.g., bias, heuristics) undercut their evidential value.","The study of how intuition functions as a source of knowledge or justified belief, and under what conditions intuitions can be considered reliable evidence."
,,,Moral Intuitionism,,,Metaethical view that some moral truths are self-evident and knowable without the need for inference or empirical investigation. Paired with pluralism about basic duties or properties and defended against skepticism and disagreement.,"A meta-ethical theory suggesting that fundamental moral truths are known directly through intuition, without the need for inference or empirical investigation."
,,,The Nature of Intuition,,,"Analyses of what intuitions are—appearances, judgments, dispositions, or seemings—how they relate to concepts, and whether their content is conceptual, perceptual-like, or modal.","The philosophical inquiry into what intuitions are, their cognitive origins, and their characteristics as mental states, distinct from perception, belief, and reasoning."
,,Reasoning,,,,"Cognitive process of forming conclusions, judgments, or inferences from facts or premises. Includes deductive, inductive, and abductive forms and psychological mechanisms that implement them.","The cognitive process of forming conclusions, judgments, or inferences from facts or premises."
,,,Abductive Reasoning,,,"""Inference to the best explanation"". Selecting hypotheses that would make observed data most intelligible. (A form of logical inference that starts with an observation or set of observations and then seeks the simplest and most likely explanation or hypothesis.). Evaluated by explanatory virtues such as simplicity, coherence, and unifying power.","A form of logical inference that starts with an observation or set of observations and then seeks the simplest and most likely explanation or hypothesis. It is often called ""inference to the best explanation."""
,,,Argument,,,"A connected set of premises offered in support of a conclusion; assessed for validity or strength, soundness, relevance, and dialectical appropriateness.","A set of reasons or premises offered in support of a conclusion, intended to persuade others that the conclusion is true."
,,,Critical Reasoning,,,"The disciplined practice of analyzing and appraising arguments and evidence, clarifying concepts, identifying assumptions, and detecting fallacies to improve belief-formation.","The objective analysis and evaluation of an issue in order to form a judgment. It involves interpreting, analyzing, and evaluating information to construct a well-supported argument."
,,,Deductive Reasoning,,,"Inference where, if the premises are true, the conclusion must be true; central notions include validity, proof, and logical consequence.","A form of reasoning in which a conclusion follows logically and necessarily from a set of premises. If the premises are true, the conclusion must also be true."
,,,Fallacies,,,"Systematic patterns of defective reasoning—formal or informal—that appear persuasive yet fail to support their conclusions, often by irrelevance, ambiguity, or unwarranted assumptions.",Errors in reasoning that undermine the logic of an argument. They can be formal (related to the structure of the argument) or informal (related to the content).
,,,,Appeal to Emotion (argumentum ad passiones),,,
,,,Inference,,,The transition from one or more propositions to another under rules or norms; includes deductive entailment and non-deductive support such as induction and abduction.,The process of drawing conclusions or making judgments based on evidence and reasoning.
,,Testimony,,,,"Acquiring belief from others’ assertions; raises questions about the division of epistemic labor, trust, social norms of assertion, and the conditions for testimonial knowledge.","The words, gestures, or utterances from others that convey beliefs and information. In epistemology, it is a major source of knowledge about the world."
,,,Epistemology of Testimony,,,"Debates whether testimonial justification depends on independent evidence of reliability (reductionism) or can be basic given normal conditions (anti-reductionism), and how testimony transmits knowledge.",The philosophical study of how beliefs formed on the basis of testimony are justified and can count as knowledge. It examines the conditions under which we can trust what others tell us.
,,,The Nature of Testimony,,,"Accounts of what counts as testimony—telling, asserting, or communicating with an audience—its constitutive norms (sincerity, competence), and the hearer’s responsibilities.","The inquiry into the fundamental characteristics of testimony as a source of information, including its dependence on the speaker's knowledge and sincerity."
,Epistemological States and Properties,,,,,"Evaluative categories such as knowledge, justification, evidence, rationality, understanding, warrant, and wisdom that characterize doxastic attitudes and cognitive achievements.","The category of concepts that describe the cognitive and normative properties of a person's beliefs, such as whether a belief is justified, warranted, or constitutes knowledge."
,,Basing,,,,The relation that makes a belief held for the right reasons—distinguishing proper basing (responding to supporting evidence) from mere causal production or coincidental correlation.,The relationship between a belief and the grounds (reasons or evidence) that support it. A belief is properly based on evidence if the evidence is the reason the belief is held.
,,Bias,,,,,
,,Defeat,,,,Mechanisms by which new information undermines justification or knowledge—either rebutting a proposition or undercutting the support relation between evidence and conclusion.,"The loss of justification for a belief. A ""defeater"" is a new piece of evidence or a new belief that undermines or overrides one's justification for another belief."
,,Entitlement,,,,"A non-evidential epistemic right to accept certain commitments (e.g., hinges, perception, memory) given our epistemic position, absent specific defeaters.","A form of epistemic justification or warrant that does not require the believer to have conscious access to the reasons supporting their belief. It is a right to believe, often default and unearned."
,,Epistemic Possibility,,,,,
,,Epistemic Luck,,,,,
,,Evidence,,,,"What supports propositions—ranging from experiences, memories, and data to knowledge itself—subject to debates about its nature (propositional vs non-propositional) and possession.",The information or reasons that support a belief or proposition. It is a central concept in determining whether a belief is justified or rational.
,,,Evidence and Knowledge,,,"Explores whether knowledge is distinct from, grounded in, or identical to evidence (e.g., E=K), and how knowledge can serve as a normative basis for further belief.","The relationship between having evidence for a proposition and having knowledge of that proposition. Traditionally, knowledge is considered to be, at minimum, a justified (evidence-based) true belief."
,,Ignorance,,,,"The absence or limitation of knowledge—individual or collective—including varieties such as simple lack, closed-mindedness, and structurally produced ignorance within social systems.","A state of lacking knowledge or information. Epistemologically, it is studied in relation to doubt, inquiry, and the limits of knowledge."
,,Justification,,,,"The normative status that makes a belief epistemically appropriate, shaped by evidential support, reliability, coherence, and responsiveness to defeaters.","The property of a belief being well-founded, supported by good reasons or evidence. It is a central requirement for a belief to count as knowledge."
,,,Epistemic Regress,,,"The problem of how reasons terminate without arbitrariness, motivating foundationalism, coherentism, infinitism, or hybrid accounts of structure.","The problem that arises when one attempts to justify every belief. If every belief must be justified by another belief, this seems to lead to an infinite chain of justifications with no ultimate foundation."
,,,Coherentism *,,,,
,,,Dogmatism *,,,,
,,,Epistemic Internalism and Externalism *,,,,
,,,Epistemic Regress,,,,
,,,Evidentialism *,,,,
,,,Foundationalism *,,,,
,,,Infinitism *,,,,
,,,Justification Misc,,,,
,,,Moral Justification *,,,,
,,,Perceptual Justification *,,,,
,,,Propositional and Doxastic Justification,,,,
,,,Reliabilism about Justification *,,,,
,,Rationality,,,,"Conformity to norms governing belief and action—structural (coherence, consistency) and substantive (evidence-responsiveness, accuracy)—often linked to decision-theoretic ideals.","The quality of being based on or in accordance with reason or logic. In epistemology, it refers to holding beliefs that are coherent and well-supported by evidence."
,,,Irrationality,,,"Failures to meet rational norms, including akrasia, wishful thinking, motivated reasoning, or incoherence, sometimes explicable by cognitive biases or conflicts of aims.","The state of holding beliefs that are contradictory, not based on evidence, or formed through faulty reasoning."
,,,Rational Requirements,,,"Specific normative constraints on attitudes (e.g., means–ends coherence, closure under known implication, no contradictory beliefs) that guide rational deliberation.","The principles or norms that govern rational thought and belief. These are the rules one ought to follow to be considered rational (e.g., believing the logical consequences of one's beliefs)."
,,Reasons *,,,,,
,,Understanding,,,,"A cognitive achievement involving grasp of explanatory, structural, or modal relations, often requiring more than true belief and allowing a degree of fallibility.","A cognitive state of grasping or comprehending a subject, which is often considered a deeper epistemic achievement than merely knowing facts about it."
,,Warrant,,,,"That which, when added to true belief, yields knowledge; on proper-function accounts, arises when cognitive faculties operate as designed in suitable environments.","The property that, when added to true belief, is said to yield knowledge. What exactly constitutes warrant (e.g., justification, reliability) is a major topic of debate."
